Day.No,AO,AC,EO,EC,Vol_AO,Vol_AC,Vol_EO,Vol_EC,Target_1,,intercept,-0.183898,0.656523,0.509043,0.000082,-0.000066,0.000028,PRED,y-y_hat,(y-y_hat)^2,mod(T),,intercept,-0.1462,1.129,0.0183,-0.000001172,-0.00003887,0.000009966,PRED,y-y_hat,(y-y_hat)^2,mod(AE),
1,152.772,153.915,153.691,154.317,346,5038,2842,4702,1,,2.8616,-28.09446526,101.0487375,78.23532771,0.028372,-0.187572,0.079576,153.971576,0.345423998,0.119317738,0.345423998,,0.0305,-22.3352664,173.770035,2.8125453,-0.000405512,-0.19582706,0.028323372,154.1099047,0.2070953,0.042888463,0.2070953,
2,153.974,154.178,154.102,154.306,711,5716,2645,9981,1,,2.8616,-28.31551065,101.2214031,78.44454439,0.058302,-0.17457,0.07406,154.1698288,0.136171172,0.018542588,0.136171172,,0.0305,-22.5109988,174.066962,2.8200666,-0.000833292,-0.22218092,0.02636007,154.2098757,0.096124342,0.009239889,0.096124342,
3,154.324,154.438,154.52,154.692,620,4232,1861,9036,1,,2.8616,-28.37987495,101.3920991,78.65732436,0.05084,-0.122826,0.052108,154.5112705,0.180729518,0.032663159,0.180729518,,0.0305,-22.5621688,174.360502,2.827716,-0.00072664,-0.16449784,0.018546726,154.5098714,0.182128554,0.03317081,0.182128554,
4,154.651,155.158,155.15,155.597,633,4130,1672,6144,1,,2.8616,-28.4400096,101.8647956,78.97802145,0.051906,-0.110352,0.046816,155.2527775,0.344222514,0.118489139,0.344222514,,0.0305,-22.6099762,175.173382,2.839245,-0.000741876,-0.1605331,0.016663152,155.288539,0.308461024,0.095148203,0.308461024,
5,155.384,156.129,155.976,157.334,132,5234,3516,8594,1,,2.8616,-28.57480683,102.5022795,79.39849097,0.010824,-0.232056,0.098448,156.0647796,1.269220397,1.610920416,1.269220397,,0.0305,-22.7171408,176.269641,2.8543608,-0.000154704,-0.20344558,0.035040456,156.2688012,1.065198828,1.134648543,1.065198828,
6,157.067,156.93,156.996,156.819,588,5488,2202,7249,0,,2.8616,-28.88430717,103.0281544,79.91771483,0.048216,-0.145332,0.061656,156.8877021,-0.068702052,0.004719972,0.068702052,,0.0305,-22.9631954,177.17397,2.8730268,-0.000689136,-0.21331856,0.021945132,156.9222388,-0.103238836,0.010658257,0.103238836,
7,156.87,157.176,157.225,157.712,407,5819,2456,7377,1,,2.8616,-28.84807926,103.189659,80.03428568,0.033374,-0.162096,0.068768,157.1775115,0.534488537,0.285677996,0.534488537,,0.0305,-22.934394,177.451704,2.8772175,-0.000477004,-0.22618453,0.024476496,157.2228425,0.489157538,0.239275097,0.489157538,
8,157.687,158.151,158.144,157.508,365,5114,2289,6934,0,,2.8616,-28.99832393,103.829769,80.50209619,0.02993,-0.151074,0.064092,158.1380892,-0.630089239,0.397012449,0.630089239,,0.0305,-23.0538394,178.552479,2.8940352,-0.00042778,-0.19878118,0.022812174,158.246778,-0.738778014,0.545792954,0.738778014,
9,157.932,157.443,157.619,157.184,489,5614,3551,7446,0,,2.8616,-29.04337894,103.3649507,80.23484862,0.040098,-0.234366,0.099428,157.3231804,-0.13918037,0.019371175,0.13918037,,0.0305,-23.0896584,177.753147,2.8844277,-0.000573108,-0.21821618,0.035389266,157.3950163,-0.211016278,0.04452787,0.211016278,
10,157.118,157.278,157.352,156.828,398,6366,2804,7549,0,,2.8616,-28.89368596,103.2566244,80.09893414,0.032636,-0.185064,0.078512,157.2495566,-0.421556566,0.177709938,0.421556566,,0.0305,-22.9706516,177.566862,2.8795416,-0.000466456,-0.24744642,0.027944664,157.2862838,-0.458283788,0.21002403,0.458283788,
11,156.078,156.545,156.639,156.426,132,4775,1617,8275,0,,2.8616,-28.70243204,102.775393,79.73598648,0.010824,-0.106722,0.045276,156.6199255,-0.193925468,0.037607087,0.193925468,,0.0305,-22.8186036,176.739305,2.8664937,-0.000154704,-0.18560425,0.016115022,156.6480512,-0.222051168,0.049306721,0.222051168,
12,156.454,156.806,156.797,157.484,675,3566,1941,7222,1,,2.8616,-28.77157769,102.9467455,79.81641527,0.05535,-0.128106,0.054348,156.8347751,0.649224883,0.421492949,0.649224883,,0.0305,-22.8735748,177.033974,2.8693851,-0.0007911,-0.13861042,0.019344006,156.9402268,0.543773214,0.295689308,0.543773214,
13,157.041,156.996,157.031,155.982,518,3158,1901,11332,0,,2.8616,-28.87952582,103.0714849,79.93553133,0.042476,-0.125466,0.053228,156.9593284,-0.977328423,0.955170846,0.977328423,,0.0305,-22.9593942,177.248484,2.8736673,-0.000607096,-0.12275146,0.018945366,157.0888439,-1.10684391,1.225103441,1.10684391,
14,156.32,156.089,156.09,156.386,525,5419,1927,10538,1,,2.8616,-28.74693536,102.4760185,79.45652187,0.04305,-0.127182,0.053956,156.0170291,0.368970943,0.136139557,0.368970943,,0.0305,-22.853984,176.224481,2.856447,-0.0006153,-0.21063653,0.019204482,156.0653967,0.320603348,0.102786507,0.320603348,
15,156.562,156.733,156.666,156.713,465,5662,4617,10734,0,,2.8616,-28.79143868,102.8988194,79.74973064,0.03813,-0.304722,0.129276,156.5813953,0.131604679,0.017319792,0.131604679,,0.0305,-22.8893644,176.951557,2.8669878,-0.00054498,-0.22008194,0.046013022,156.7850665,-0.072066502,0.005193581,0.072066502,
16,156.095,156.272,156.348,156.226,1822,6839,4650,6286,0,,2.8616,-28.70555831,102.5961623,79.58785496,0.149404,-0.3069,0.1302,156.3127629,-0.08676291,0.007527803,0.08676291,,0.0305,-22.821089,176.431088,2.8611684,-0.002135384,-0.26583193,0.0463419,156.280042,-0.054041986,0.002920536,0.054041986,
17,155.734,155.182,155.244,155.05,933,5274,4267,6851,0,,2.8616,-28.63917113,101.8805522,79.02587149,0.076506,-0.281622,0.119476,155.0432125,0.006787454,4.60695E-05,0.006787454,,0.0305,-22.7683108,175.200478,2.8409652,-0.001093476,-0.20500038,0.042524922,155.1400635,-0.090063466,0.008111428,0.090063466,
18,155.093,155.159,155.192,155.821,664,3802,2494,6147,1,,2.8616,-28.52129251,101.8654522,78.99940126,0.054448,-0.164604,0.069832,155.1648369,0.656163101,0.430550015,0.656163101,,0.0305,-22.6745966,175.174511,2.8400136,-0.000778208,-0.14778374,0.024855204,155.2467213,0.574278744,0.329796076,0.574278744,
19,155.972,155.959,155.904,153.409,1155,4206,3290,8111,0,,2.8616,-28.68293886,102.3906706,79.36183987,0.09471,-0.21714,0.09212,155.9008616,-2.491861573,6.209374099,2.491861573,,0.0305,-22.8031064,176.077711,2.8530432,-0.00135366,-0.16348722,0.03278814,156.0260951,-2.61709506,6.849186553,2.61709506,
20,153.524,153.341,153.331,152.884,762,3969,2999,8515,0,,2.8616,-28.23275655,100.6718933,78.05207223,0.062484,-0.197934,0.083972,153.301331,-0.417331024,0.174165184,0.417331024,,0.0305,-22.4452088,173.121989,2.8059573,-0.000893064,-0.15427503,0.029888034,153.3879574,-0.50395744,0.253973101,0.50395744,
21,152.926,153.094,153.164,153.505,2707,6760,5287,5380,1,,2.8616,-28.12278555,100.5097322,77.96706205,0.221974,-0.348942,0.148036,153.2366767,0.268323334,0.071997412,0.268323334,,0.0305,-22.3577812,172.843126,2.8029012,-0.003172604,-0.2627612,0.052690242,153.1055024,0.399497562,0.159598302,0.399497562,
22,153.576,153.097,153.185,153.008,935,6560,5875,6932,0,,2.8616,-28.24231925,100.5117017,77.97775196,0.07667,-0.38775,0.1645,152.9621544,0.045845562,0.002101816,0.045845562,,0.0305,-22.4528112,172.846513,2.8032855,-0.00109582,-0.2549872,0.05855025,153.0299545,-0.02195453,0.000482001,0.02195453,
23,153.012,153.288,153.133,153.47,872,6110,6029,8852,1,,2.8616,-28.13860078,100.6370976,77.95128172,0.071504,-0.397914,0.168812,153.1537806,0.316219433,0.09999473,0.316219433,,0.0305,-22.3703544,173.062152,2.8023339,-0.001021984,-0.2374957,0.060085014,153.3461988,0.12380117,0.01532673,0.12380117,
24,152.683,152.764,152.972,152.621,1234,6627,5012,4645,0,,2.8616,-28.07809833,100.2930796,77.8693258,0.101188,-0.330792,0.140336,152.856639,-0.235639034,0.055525754,0.235639034,,0.0305,-22.3222546,172.470556,2.7993876,-0.001446248,-0.25759149,0.049949592,152.7691009,-0.148100854,0.021933863,0.148100854,
25,152.414,152.693,152.75,152.613,1860,6317,4681,6228,0,,2.8616,-28.02862977,100.2464664,77.75631825,0.15252,-0.308946,0.131068,152.8103969,-0.197396917,0.038965543,0.197396917,,0.0305,-22.2829268,172.390397,2.795325,-0.00217992,-0.24554179,0.046650846,152.7322243,-0.119224336,0.014214442,0.119224336,
26,152.84,152.993,153.059,153.074,1713,5671,4008,6492,1,,2.8616,-28.10697032,100.4434233,77.91361254,0.140466,-0.264528,0.112224,153.0998276,-0.025827556,0.000667063,0.025827556,,0.0305,-22.345208,172.729097,2.8009797,-0.002007636,-0.22043177,0.039943728,153.032873,0.041126978,0.001691428,0.041126978,
27,153.023,153.84,153.284,153.775,1882,6076,5619,5777,0,,2.8616,-28.14062365,100.9994983,78.02814721,0.154324,-0.370854,0.157332,153.6894239,0.085576122,0.007323273,0.085576122,,0.0305,-22.3719626,173.68536,2.8050972,-0.002205704,-0.23617412,0.055998954,153.9666137,-0.19161373,0.036715822,0.19161373,
28,154.121,154.489,154.359,154.201,2300,6585,8060,6065,0,,2.8616,-28.34254366,101.4255817,78.57536844,0.1886,-0.53196,0.22568,154.4023265,-0.201326526,0.04053237,0.201326526,,0.0305,-22.5324902,174.418081,2.8247697,-0.0026956,-0.25595895,0.08032596,154.5625319,-0.36153191,0.130705322,0.36153191,
29,153.971,154.04,154.071,154.013,2180,6917,5699,6402,0,,2.8616,-28.31495896,101.1308029,78.42876405,0.17876,-0.376134,0.159572,154.068406,-0.055406015,0.003069826,0.055406015,,0.0305,-22.5105602,173.91116,2.8194993,-0.00255496,-0.26886379,0.056796234,154.0359766,-0.022976584,0.000527923,0.022976584,
30,154.198,154.286,154.277,153.263,1107,7396,4599,6426,0,,2.8616,-28.3567038,101.2923076,78.53362691,0.090774,-0.303534,0.128772,154.2468427,-0.983842685,0.967946429,0.983842685,,0.0305,-22.5437476,174.188894,2.8232691,-0.001297404,-0.28748252,0.045833634,154.2559692,-0.99296921,0.985987852,0.99296921,
31,153.262,153.382,153.448,153.746,2659,8193,5718,8009,1,,2.8616,-28.18457528,100.6988108,78.11163026,0.218038,-0.377388,0.160104,153.4882198,0.257780226,0.066450645,0.257780226,,0.0305,-22.4069044,173.168278,2.8080984,-0.003116348,-0.31846191,0.056985588,153.3353793,0.41062067,0.168609335,0.41062067,
32,153.784,153.676,154.048,153.712,1449,11197,9952,8533,1,,2.8616,-28.28057003,100.8918285,78.41705606,0.118818,-0.656832,0.278656,153.6305566,0.08144342,0.006633031,0.08144342,,0.0305,-22.4832208,173.500204,2.8190784,-0.001698228,-0.43522739,0.099181632,153.5288176,0.183182386,0.033555787,0.183182386,
33,153.937,153.628,153.829,153.882,1796,8336,6386,7785,1,,2.8616,-28.30870643,100.8603154,78.30557565,0.147272,-0.421476,0.178808,153.6233887,0.258611335,0.066879823,0.258611335,,0.0305,-22.5055894,173.446012,2.8150707,-0.002104912,-0.32402032,0.063642876,153.5235109,0.358489056,0.128514403,0.358489056,
34,153.792,154.022,154.031,153.648,1305,4923,3723,2403,0,,2.8616,-28.28204122,101.1189855,78.40840233,0.10701,-0.245718,0.104244,154.0724826,-0.424482623,0.180185497,0.424482623,,0.0305,-22.4843904,173.890838,2.8187673,-0.00152946,-0.19135701,0.037103418,154.0999318,-0.451931848,0.204242395,0.451931848,
35,153.621,151.863,152.472,150.93,2673,14447,10079,9930,0,,2.8616,-28.25059466,99.70155235,77.6148043,0.219186,-0.665214,0.282212,151.763546,-0.833545987,0.694798912,0.833545987,,0.0305,-22.4593902,171.453327,2.7902376,-0.003132756,-0.56155489,0.100447314,151.3504341,-0.420434068,0.176764806,0.420434068,
36,151.254,151.392,151.094,151.053,5551,10060,9293,7517,0,,2.8616,-27.81530809,99.39233002,76.91334304,0.455182,-0.613338,0.260204,151.454013,-0.401012966,0.160811399,0.401012966,,0.0305,-22.1133348,170.921568,2.7650202,-0.006505772,-0.3910322,0.092614038,151.2988295,-0.245829466,0.060432126,0.245829466,
37,151.187,150.848,150.796,150.167,2735,10319,10392,14489,0,,2.8616,-27.80298693,99.0351815,76.76164823,0.22427,-0.685872,0.290976,150.6848168,-0.517816806,0.268134245,0.517816806,,0.0305,-22.1035394,170.307392,2.7595668,-0.00320542,-0.40109953,0.103566672,150.6931811,-0.526181122,0.276866573,0.526181122,
38,150.467,151.057,151.348,150.401,3922,10668,8252,9187,0,,2.8616,-27.67058037,99.17239481,77.04263996,0.321604,-0.544632,0.231056,151.4140824,-1.013082409,1.026335967,1.013082409,,0.0305,-21.9982754,170.543353,2.7696684,-0.004596584,-0.41466516,0.082239432,151.0082237,-0.607223688,0.368720607,0.607223688,
39,149.733,150.465,150.432,150.317,1541,8461,7861,10099,0,,2.8616,-27.53559923,98.7837332,76.57635658,0.126362,-0.518826,0.220108,150.5137345,-0.196734537,0.038704478,0.196734537,,0.0305,-21.8909646,169.874985,2.7529056,-0.001806052,-0.32887907,0.078342726,150.5150836,-0.198083604,0.039237114,0.198083604,
40,150.495,150.537,150.531,149.669,2932,6853,6480,11287,0,,2.8616,-27.67572951,98.83100285,76.62675183,0.240424,-0.42768,0.18144,150.6378092,-0.968809174,0.938591216,0.968809174,,0.0305,-22.002369,169.956273,2.7547173,-0.003436304,-0.26637611,0.06457968,150.5338886,-0.864888566,0.748032232,0.864888566,
41,149.491,149.717,149.58,150.162,4356,6957,5403,7685,1,,2.8616,-27.49109592,98.29265399,76.14265194,0.357192,-0.356598,0.151284,149.957688,0.204311987,0.041743388,0.204311987,,0.0305,-21.8555842,169.030493,2.737314,-0.005105232,-0.27041859,0.053846298,149.7210453,0.440954724,0.194441069,0.440954724,
42,150.453,150.943,151.017,150.42,2319,6379,6531,6872,0,,2.8616,-27.66800579,99.09755119,76.87414673,0.190158,-0.431046,0.182868,151.1072721,-0.687272126,0.472342975,0.687272126,,0.0305,-21.9962286,170.414647,2.7636111,-0.002717868,-0.24795173,0.065087946,151.0269478,-0.606947848,0.36838569,0.606947848,
43,150.371,150.179,150.359,150.496,1828,8395,5441,5718,1,,2.8616,-27.65292616,98.59596762,76.53919644,0.149896,-0.359106,0.152348,150.2869759,0.209024104,0.043691076,0.209024104,,0.0305,-21.9842402,169.552091,2.7515697,-0.002142416,-0.32631365,0.054225006,150.0756894,0.42031056,0.176660967,0.42031056,
44,150.139,149.808,150.091,149.812,1653,6039,5530,6146,1,,2.8616,-27.61026182,98.35239758,76.40277291,0.135546,-0.36498,0.15484,149.9319147,-0.119914675,0.014379529,0.119914675,,0.0305,-21.9503218,169.133232,2.7466653,-0.001937316,-0.23473593,0.05511198,149.7785142,0.033485766,0.001121297,0.033485766,
45,149.944,150.113,150.182,150.032,1570,7733,5550,6753,0,,2.8616,-27.57440171,98.5526371,76.44909583,0.12874,-0.3663,0.1554,150.2067712,-0.174771213,0.030544977,0.174771213,,0.0305,-21.9218128,169.477577,2.7483306,-0.00184004,-0.30058171,0.0553113,150.0874844,-0.05548435,0.003078513,0.05548435,
46,150.373,150.256,150.177,150.258,2796,5427,3930,7076,1,,2.8616,-27.65329395,98.64651989,76.44655061,0.229272,-0.25938,0.11004,150.3813085,-0.123308545,0.015204997,0.123308545,,0.0305,-21.9845326,169.639024,2.7482391,-0.003276912,-0.21094749,0.03916638,150.2581725,-0.000172478,2.97487E-08,0.000172478,
47,150.029,150.114,150.152,150.479,1088,4793,3444,5967,1,,2.8616,-27.59003304,98.55329362,76.43382454,0.089216,-0.227304,0.096432,150.2170291,0.261970884,0.068628744,0.261970884,,0.0305,-21.9342398,169.478706,2.7477816,-0.001275136,-0.18630391,0.034322904,150.1694917,0.309508342,0.095795414,0.309508342,
48,150.435,150.691,150.52,150.443,891,5147,4641,5071,0,,2.8616,-27.66469563,98.93210739,76.62115236,0.073062,-0.306306,0.129948,150.6468681,-0.203868123,0.041562212,0.203868123,,0.0305,-21.993597,170.130139,2.754516,-0.001044252,-0.20006389,0.046252206,150.7667021,-0.323702064,0.104783026,0.323702064,
49,151.17,151.368,151.283,151.634,3082,6697,4784,7386,1,,2.8616,-27.79986066,99.37657346,77.00955217,0.252724,-0.315744,0.133952,151.518797,0.115203027,0.013271737,0.115203027,,0.0305,-22.101054,170.894472,2.7684789,-0.003612104,-0.26031239,0.047677344,151.3761498,0.25785025,0.066486751,0.25785025,
50,151.486,151.274,151.316,150.711,1644,7890,5554,8048,0,,2.8616,-27.85797243,99.3148603,77.02635059,0.134808,-0.366564,0.155512,151.2685945,-0.557594462,0.310911584,0.557594462,,0.0305,-22.1472532,170.788346,2.7690828,-0.001926768,-0.3066843,0.055351164,151.1874157,-0.476415696,0.226971915,0.476415696,
51,150.408,149.91,149.962,149.931,3330,6932,5437,6858,1,,2.8616,-27.65973038,98.41936293,76.33710637,0.27306,-0.358842,0.152236,150.0247929,-0.093792912,0.00879711,0.093792912,,0.0305,-21.9896496,169.24839,2.7443046,-0.00390276,-0.26944684,0.054185142,149.8143805,0.116619458,0.013600098,0.116619458,
52,150.024,150.271,150.343,150.957,1237,5598,4347,4984,1,,2.8616,-27.58911355,98.65636773,76.53105175,0.101434,-0.286902,0.121716,150.3961539,0.56084607,0.314548314,0.56084607,,0.0305,-21.9335088,169.655959,2.7512769,-0.001449764,-0.21759426,0.043322202,150.3285053,0.628494722,0.395005616,0.628494722,
53,151.334,151.512,151.281,152.537,1133,4809,3881,5645,1,,2.8616,-27.83001993,99.47111278,77.00853408,0.092906,-0.256146,0.108668,151.4566549,1.080345073,1.167145477,1.080345073,,0.0305,-22.1250308,171.057048,2.7684423,-0.001327876,-0.18692583,0.038678046,151.5813838,0.95561616,0.913202245,0.95561616,
54,152.238,152.749,152.496,153.401,1163,4345,2369,4335,1,,2.8616,-27.99626372,100.2832317,77.62702133,0.095366,-0.156354,0.066332,152.7809333,0.620066669,0.384482674,0.620066669,,0.0305,-22.2571956,172.453621,2.7906768,-0.001363036,-0.16889015,0.023609454,152.8709585,0.530041532,0.280944026,0.530041532,
55,153.419,153.326,153.284,153.199,1387,5126,2531,1444,0,,2.8616,-28.21344726,100.6620455,78.02814721,0.113734,-0.167046,0.070868,153.3559014,-0.156901448,0.024618064,0.156901448,,0.0305,-22.4298578,173.105054,2.8050972,-0.001625564,-0.19924762,0.025223946,153.3351442,-0.136144162,0.018535233,0.136144162,
56,153.151,153.507,153.38,154.129,1145,3448,2100,2715,1,,2.8616,-28.1641626,100.7808762,78.07701534,0.09389,-0.1386,0.0588,153.5694189,0.559581097,0.313131004,0.559581097,,0.0305,-22.3906762,173.309403,2.806854,-0.00134194,-0.13402376,0.0209286,153.6416437,0.4873563,0.237516163,0.4873563,
57,154.337,154.266,154.403,154.073,901,2306,2204,3386,0,,2.8616,-28.38226563,101.2791771,78.59776633,0.073882,-0.145464,0.061712,154.3464078,-0.273407821,0.074751837,0.273407821,,0.0305,-22.5640694,174.166314,2.8255749,-0.001055972,-0.08963422,0.021965064,154.3895944,-0.316594372,0.100231996,0.316594372,
58,154.211,154.261,154.251,155.006,1499,3446,2201,4030,1,,2.8616,-28.35909448,101.2758945,78.52039179,0.122918,-0.145266,0.061628,154.3380718,0.667928182,0.446128056,0.667928182,,0.0305,-22.5456482,174.160669,2.8227933,-0.001756828,-0.13394602,0.021935166,154.3545464,0.651453582,0.42439177,0.651453582,
59,154.983,155.096,155.184,155.433,794,3040,2660,4748,1,,2.8616,-28.50106373,101.8240912,78.99532891,0.065108,-0.17556,0.07448,155.1439844,0.289015614,0.083530025,0.289015614,,0.0305,-22.6585146,175.103384,2.8398672,-0.000930568,-0.1181648,0.02650956,155.2226508,0.210349208,0.044246789,0.210349208,
60,155.248,155.523,155.459,155.952,1008,2839,1945,4834,1,,2.8616,-28.5497967,102.1044265,79.13531574,0.082656,-0.12837,0.05446,155.5602916,0.391708438,0.1534355,0.391708438,,0.0305,-22.6972576,175.585467,2.8448997,-0.001181376,-0.11035193,0.01938387,155.6714597,0.280540336,0.07870288,0.280540336,
61,155.693,155.706,155.762,155.036,1735,2954,1961,4836,0,,2.8616,-28.63163131,102.2245702,79.28955577,0.14227,-0.129426,0.054908,155.8118467,-0.77584669,0.601938086,0.77584669,,0.0305,-22.7623166,175.792074,2.8504446,-0.00203342,-0.11482198,0.019543326,155.8133899,-0.777389926,0.604335097,0.777389926,
62,155.33,156.114,155.902,157.403,1495,4409,3466,7060,1,,2.8616,-28.56487634,102.4924316,79.36082179,0.12259,-0.228756,0.097048,156.1408591,1.262140932,1.592999732,1.262140932,,0.0305,-22.709246,176.252706,2.8530066,-0.00175214,-0.17137783,0.034542156,156.2883788,1.114621214,1.242380451,1.114621214,
63,157.047,157.059,156.97,157.06,1819,4225,3446,5509,1,,2.8616,-28.88062921,103.1128459,79.90447971,0.149158,-0.227436,0.096488,157.0165064,0.043493639,0.001891697,0.043493639,,0.0305,-22.9602714,177.319611,2.872551,-0.002131868,-0.16422575,0.034342836,157.1303758,-0.070375818,0.004952756,0.070375818,
64,157.354,156.412,156.606,156.576,1460,5679,4973,5912,1,,2.8616,-28.93708589,102.6880755,79.71918806,0.11972,-0.328218,0.139244,156.2625236,0.313476358,0.098267427,0.313476358,,0.0305,-23.0051548,176.589148,2.8658898,-0.00171112,-0.22074273,0.049560918,156.3074901,0.268509932,0.072097584,0.268509932,
65,156.739,156.886,156.998,156.942,2128,4240,3354,5826,1,,2.8616,-28.82398862,102.9992674,79.91873291,0.174496,-0.221364,0.093912,157.0026557,-0.06065567,0.00367911,0.06065567,,0.0305,-22.9152418,177.124294,2.8730634,-0.002494016,-0.1648088,0.033425964,156.9787387,-0.036738748,0.001349736,0.036738748,
66,156.997,157.312,157.257,156.099,2728,6587,3858,5956,0,,2.8616,-28.87143431,103.2789462,80.05057505,0.223696,-0.254628,0.108024,157.3967789,-1.297778921,1.684230128,1.297778921,,0.0305,-22.9529614,177.605248,2.8778031,-0.003197216,-0.25603669,0.038448828,157.3398046,-1.240804622,1.53959611,1.240804622,
67,156.419,156.723,156.522,157.082,1204,6136,5443,7074,1,,2.8616,-28.76514126,102.8922541,79.67642845,0.098728,-0.359238,0.152404,156.5570353,0.524964687,0.275587923,0.524964687,,0.0305,-22.8684578,176.940267,2.8643526,-0.001411088,-0.23850632,0.054244938,156.7809893,0.30101067,0.090607423,0.30101067,
68,157.177,157.289,157.242,157.192,1508,5123,3771,6456,0,,2.8616,-28.90453595,103.2638461,80.04293941,0.123656,-0.248886,0.105588,157.2442076,-0.052207607,0.002725634,0.052207607,,0.0305,-22.9792774,177.579281,2.8775286,-0.001767376,-0.19913101,0.037581786,157.3447156,-0.1527156,0.023322054,0.1527156,
69,157.141,157.102,157.153,156.741,1526,4591,4193,5946,0,,2.8616,-28.89791562,103.1410763,79.99763458,0.125132,-0.276738,0.117404,157.0681933,-0.327193307,0.10705546,0.327193307,,0.0305,-22.9740142,177.368158,2.8758999,-0.001788472,-0.17845217,0.041787438,157.1620905,-0.421090496,0.177317206,0.421090496,
